indice_tiempo_instruccion,fecha_zarpada,pais_zarpada_id,pais_zarpada_nombre,puerto_zarpada_nombre,puerto_zarpada_latitud,puerto_zarpada_longitud,indice_tiempo_arribo,pais_arribo_id,pais_arribo_nombre,puerto_arribo_nombre,puerto_arribo_latitud,puerto_arribo_longitud,dias_navegacion,dias_puerto,millas_nauticas
1981,1981-08-04,438,Republica Federal de Alemania,Hamburgo,+53° 32´ 51´´ (N),+009° 58´ 09´´ (E),1981-08-08,412,Republica Francesa,Brest,+48° 23´ 12´´ (N),-004° 29´ 26´´ (W),4,9,763
1981,1981-08-17,412,Republica Francesa,Brest,+48° 23´ 12´´ (N),-004° 29´ 26´´ (W),1981-08-20,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),3,3,686
1981,1981-08-23,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),1981-08-25,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),2,8,285
1981,1981-09-02,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),1981-09-05,410,Reino de Espania,Palma de Mallorca,+33° 33´ 02´´ (N),+002° 37´ 29´´ (E),3,4,574
1981,1981-09-09,410,Reino de Espania,Palma de Mallorca,+33° 33´ 02´´ (N),+002° 37´ 29´´ (E),1981-09-11,141,Republica Tunecina,Tunez,+36° 49´ 06´´ (N),+010° 12´ 08´´ (E),2,3,435
1981,1981-09-14,141,Republica Tunecina,Tunez,+36° 49´ 06´´ (N),+010° 12´ 08´´ (E),1981-09-22,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),8,3,1534
1981,1981-09-25,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),1981-10-15,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),20,4,3575
1981,1981-10-19,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1981-10-25,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),6,2,1036
1981,1981-10-27,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),1981-10-30,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),3,,112
1982,1982-08-18,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1982-08-30,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),12,5,2183
1982,1982-09-04,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),1982-09-19,220,Republica de Panama,Balboa,+08° 56´ 22´´ (N),-079° 33´ 17´´ (W),15,6,3339
1982,1982-09-25,220,Republica de Panama,Balboa,+08° 56´ 22´´ (N),-079° 33´ 17´´ (W),1982-09-29,210,Republica de Ecuador,Guayaquil,-02° 14´ 25´´ (S),-079° 52´ 53´´ (W),4,3,790
1982,1982-10-02,210,Republica de Ecuador,Guayaquil,-02° 14´ 25´´ (S),-079° 52´ 53´´ (W),1982-10-05,222,Republica de Peru,El Callao,-12° 03´ 13´´ (S),-077° 07´ 16´´ (W),3,6,739
1982,1982-10-11,222,Republica de Peru,El Callao,-12° 03´ 13´´ (S),-077° 07´ 16´´ (W),1982-10-22,226,Republica Bolivariana de Venezuela,La Guaira,+10° 36´ 00´´ (N),-066° 55´ 59´´ (W),11,6,2261
1982,1982-10-28,226,Republica Bolivariana de Venezuela,La Guaira,+10° 36´ 00´´ (N),-066° 55´ 59´´ (W),1982-11-11,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),14,4,2807
1982,1982-11-15,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),1982-11-19,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),4,6,806
1982,1982-11-25,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1982-12-02,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),7,,1156
1983,1983-06-13,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1983-06-24,203,Republica Federativa de Brasil,Salvador de Bahia ,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),11,5,2012
1983,1983-06-29,203,Republica Federativa de Brasil,Salvador de Bahia ,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),1983-07-13,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),14,4,3079
